,efm,reaction,dq/dKeq,dlogq/dlogKeq
467,37,r10b,0.00e+00,0.00e+00
468,37,r10c,0.00e+00,0.00e+00
469,37,r11r,-6.93e-05,-1.88e-04
470,37,r12r,-9.76e-05,-2.65e-04
471,37,r13r,-6.07e-06,-2.59e-05
472,37,r14r,-6.75e-05,-7.09e-05
473,37,r21,0.00e+00,0.00e+00
474,37,r22,0.00e+00,0.00e+00
475,37,r23r,-8.91e-03,-7.67e-04
476,37,r24,0.00e+00,0.00e+00
477,37,r27,0.00e+00,0.00e+00
478,37,r27b,0.00e+00,0.00e+00
479,37,r2r,2.95e-02,1.75e-02
480,37,r4,0.00e+00,0.00e+00
481,37,r40,0.00e+00,0.00e+00
482,37,r55a,0.00e+00,0.00e+00
483,37,r55b,0.00e+00,0.00e+00
484,37,r5r,6.86e+01,2.38e-02
485,37,r60,0.00e+00,0.00e+00
486,37,r61r,-3.53e-02,-3.94e-04
487,37,r6r,-1.06e-03,-1.39e-02
488,37,r91,0.00e+00,0.00e+00
489,37,r93,0.00e+00,0.00e+00
490,37,rr9,0.00e+00,0.00e+00
491,41,r1,0.00e+00,0.00e+00
492,41,r10a,0.00e+00,0.00e+00
493,41,r10b,0.00e+00,0.00e+00
494,41,r10c,0.00e+00,0.00e+00
495,41,r11r,-6.16e-05,-2.86e-04
496,41,r12r,-8.70e-05,-4.03e-04
497,41,r13r,-5.76e-06,-4.20e-05
498,41,r14r,-6.07e-05,-1.09e-04
499,41,r21,0.00e+00,0.00e+00
500,41,r22,0.00e+00,0.00e+00
501,41,r23r,-7.77e-03,-1.14e-03
502,41,r24,0.00e+00,0.00e+00
503,41,r2r,1.57e-02,1.60e-02
504,41,r4,0.00e+00,0.00e+00
505,41,r40,0.00e+00,0.00e+00
506,41,r55a,0.00e+00,0.00e+00
507,41,r55b,0.00e+00,0.00e+00
508,41,r5r,3.39e+01,2.02e-02
509,41,r60,0.00e+00,0.00e+00
510,41,r61r,-1.88e-02,-3.59e-04
511,41,r6r,-5.11e-04,-1.15e-02
512,41,r80,0.00e+00,0.00e+00
513,41,r91,0.00e+00,0.00e+00
514,41,r93,0.00e+00,0.00e+00
515,41,rr9,0.00e+00,0.00e+00
516,43,r1,0.00e+00,0.00e+00
517,43,r10a,0.00e+00,0.00e+00
518,43,r10b,0.00e+00,0.00e+00
519,43,r10c,0.00e+00,0.00e+00
520,43,r12r,-1.42e-04,-3.86e-04
521,43,r13r,-2.00e-05,-8.50e-05
522,43,r14r,-5.34e-05,-5.60e-05
523,43,r15r,7.45e-05,3.26e-03
524,43,r21,0.00e+00,0.00e+00
525,43,r22,0.00e+00,0.00e+00
526,43,r23r,-8.90e-03,-7.66e-04
527,43,r24,0.00e+00,0.00e+00
528,43,r27,0.00e+00,0.00e+00
529,43,r27b,0.00e+00,0.00e+00
530,43,r2r,2.89e-02,1.71e-02
531,43,r4,0.00e+00,0.00e+00
532,43,r40,0.00e+00,0.00e+00
533,43,r55a,0.00e+00,0.00e+00
534,43,r55b,0.00e+00,0.00e+00
535,43,r5r,6.99e+01,2.42e-02
536,43,r60,0.00e+00,0.00e+00
537,43,r61r,-3.53e-02,-3.94e-04
538,43,r6r,-1.08e-03,-1.42e-02
539,43,r91,0.00e+00,0.00e+00
540,43,r93,0.00e+00,0.00e+00
541,43,rr9,0.00e+00,0.00e+00
542,58,r1,0.00e+00,0.00e+00
543,58,r10a,0.00e+00,0.00e+00
544,58,r10b,0.00e+00,0.00e+00
545,58,r10c,0.00e+00,0.00e+00
546,58,r11r,3.12e-04,6.33e-04
547,58,r12r,-1.49e-04,-3.02e-04
548,58,r15r,2.00e-04,6.54e-03
549,58,r21,0.00e+00,0.00e+00
550,58,r22,0.00e+00,0.00e+00
551,58,r23r,-2.17e-01,-1.39e-02
552,58,r24,0.00e+00,0.00e+00
553,58,r25,0.00e+00,0.00e+00
554,58,r26r,-3.33e-02,-1.52e-02
555,58,r27,0.00e+00,0.00e+00
556,58,r27b,0.00e+00,0.00e+00
557,58,r28r,-2.53e-03,-1.04e-02
558,58,r2r,1.47e-02,6.53e-03
559,58,r4,0.00e+00,0.00e+00
560,58,r40,0.00e+00,0.00e+00
561,58,r41,0.00e+00,0.00e+00
562,58,r5r,5.20e+01,1.35e-02
563,58,r60,0.00e+00,0.00e+00
564,58,r61r,-4.04e-02,-3.37e-04
565,58,r6r,-8.58e-04,-8.41e-03
566,58,r93,0.00e+00,0.00e+00
567,58,rr9,0.00e+00,0.00e+00
568,59,r1,0.00e+00,0.00e+00
569,59,r10a,0.00e+00,0.00e+00
570,59,r10b,0.00e+00,0.00e+00
571,59,r10c,0.00e+00,0.00e+00
572,59,r11r,4.14e-04,1.22e-03
573,59,r12r,-1.99e-04,-5.86e-04
574,59,r15r,2.49e-04,1.18e-02
575,59,r21,0.00e+00,0.00e+00
576,59,r22,0.00e+00,0.00e+00
577,59,r23r,-1.74e-01,-1.62e-02
578,59,r24,0.00e+00,0.00e+00
579,59,r25,0.00e+00,0.00e+00
580,59,r26r,-2.84e-02,-1.88e-02
581,59,r27,0.00e+00,0.00e+00
582,59,r27b,0.00e+00,0.00e+00
583,59,r28r,-3.47e-03,-2.08e-02
584,59,r29r,-3.32e+02,-2.57e-02
585,59,r2r,5.02e-03,3.24e-03
586,59,r4,0.00e+00,0.00e+00
587,59,r40,0.00e+00,0.00e+00
588,59,r5r,3.87e+01,1.46e-02
589,59,r60,0.00e+00,0.00e+00
590,59,r61r,-3.84e-02,-4.66e-04
591,59,r6r,-6.34e-04,-9.04e-03
592,59,r93,0.00e+00,0.00e+00
593,59,rr9,0.00e+00,0.00e+00
594,62,r1,0.00e+00,0.00e+00
595,62,r10a,0.00e+00,0.00e+00
596,62,r10b,0.00e+00,0.00e+00
597,62,r11r,1.10e-03,2.20e-03
