EFM,biomass yield [gr dw / mol C glc],"$\Sigma_i \frac{|v_i| \cdot w_i}{k_{\mathrm{cat},i}}$ [gr enz / gr dw h$^{-1}$]",total enzyme [gr enz / gr dw h$^{-1}$],growth rate [h$^{-1}$]
1310,1.799,0.183,0.55,0.208
1312,1.708,14.309,22.847,0.006
1314,1.683,14.474,23.123,0.006
1315,1.841,0.171,0.436,0.252
1317,2.215,11.117,17.905,0.007
1319,1.708,0.325,1.175,0.106
1323,10.182,0.253,0.862,0.14
1324,1.683,0.192,0.49,0.229
1325,1.683,0.358,1.269,0.099
1326,1.841,0.173,0.439,0.25
1327,1.708,0.188,0.478,0.234
1329,13.607,0.429,1.544,0.082
1330,1.972,12.567,20.029,0.007
1331,13.261,0.092,0.197,0.455
1339,1.972,0.171,0.536,0.212
1342,2.091,11.789,18.783,0.007
1346,14.127,0.067,0.157,0.525
1347,2.091,0.147,0.373,0.285
1358,19.433,0.106,0.28,0.355
1361,2.675,0.478,1.087,0.114
1363,16.178,0.298,1.135,0.109
1364,2.678,0.478,1.09,0.113
1365,1.813,0.874,3.049,0.043
1367,1.82,0.87,3.039,0.043
1370,3.467,0.311,0.749,0.159
1371,3.457,0.311,0.747,0.159
1378,7.896,0.432,1.595,0.08
1381,20.844,0.077,0.226,0.414
1383,2.141,0.152,0.447,0.247
1393,7.858,0.434,1.608,0.079
1396,2.215,0.14,0.371,0.287
1406,13.166,0.093,0.199,0.451
1407,10.15,0.252,0.86,0.141
1408,16.191,0.298,1.141,0.109
1409,13.067,0.094,0.205,0.442
1410,13.594,0.431,1.55,0.082
1414,13.581,0.432,1.565,0.081
1424,19.407,0.107,0.284,0.351
1431,14.035,0.067,0.158,0.523
1432,1.955,12.688,20.216,0.007
1434,20.844,0.078,0.23,0.409
1436,1.733,14.145,22.572,0.006
1437,16.204,0.298,1.16,0.107
1439,1.813,0.177,0.514,0.22
1440,2.054,12.027,19.157,0.007
1441,19.38,0.109,0.294,0.342
1443,1.955,0.169,0.522,0.217
1444,1.733,0.183,0.466,0.239
1445,1.733,0.293,1.077,0.115
1446,1.841,0.17,0.432,0.254
1449,10.118,0.252,0.859,0.141
1455,2.054,0.15,0.379,0.282
1459,20.844,0.079,0.24,0.397
1465,1.841,0.17,0.431,0.254
1466,1.762,13.969,22.296,0.006
1467,1.82,0.174,0.495,0.227
1473,1.762,0.179,0.455,0.243
1474,1.762,0.258,0.969,0.126
1478,10.084,0.252,0.863,0.14
1479,13.945,0.068,0.16,0.52
1482,1.938,12.81,20.405,0.007
1484,2.018,12.265,19.533,0.007
1503,13.85,0.069,0.166,0.507
1506,1.981,12.52,19.95,0.007
1507,1.921,12.939,20.622,0.007
1511,1.938,0.168,0.508,0.222
1516,2.018,0.152,0.384,0.279
1535,1.921,0.167,0.494,0.227
1537,1.981,0.155,0.392,0.274
1544,18.618,0.076,0.114,0.632
1545,18.618,0.09,0.127,0.595
1547,18.618,0.064,0.112,0.638
1549,10.73,0.354,1.29,0.097
1550,11.386,0.284,1.059,0.117
1551,10.91,0.289,1.101,0.112
1554,10.73,0.285,1.032,0.119
1555,11.002,0.283,1.021,0.12
1556,16.549,0.072,0.197,0.455
1557,15.678,0.074,0.17,0.5
1562,15.198,0.073,0.171,0.498
1563,15.734,0.072,0.168,0.504
1564,15.198,0.143,0.503,0.224
1565,18.618,0.047,0.083,0.739
9999,17.711,0.068,0.23,0.409
