,efm,reaction,dq/dKeq,dlnq/dlnKeq,dmu/dKeq,dlnmu/dlnKeq
306,151,R11r,7.42e-05,9.75e-06,-3.16e-08,-9.70e-06
307,151,R12r,-2.37e-05,-3.10e-06,1.01e-08,3.09e-06
308,151,R13r,2.95e-05,6.10e-06,-1.26e-08,-6.06e-06
309,151,R14r,1.39e-04,7.08e-06,-5.93e-08,-7.04e-06
310,151,R15r,1.20e-05,2.55e-05,-5.13e-09,-2.54e-05
311,151,R20,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
312,151,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
313,151,R23r,-1.62e+00,-6.76e-03,6.90e-04,6.72e-03
314,151,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
315,151,R25,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
316,151,R26r,-9.89e-03,-2.91e-04,4.21e-06,2.90e-04
317,151,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
318,151,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
319,151,R54ra,-6.97e+01,-8.89e-03,2.97e-02,8.84e-03
320,151,R54rb,-7.03e-07,-1.10e-04,3.00e-10,1.09e-04
321,151,R5r,2.71e-01,4.55e-06,-1.15e-04,-4.53e-06
322,151,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
323,151,R61r,-8.68e-01,-4.69e-04,3.70e-04,4.67e-04
324,151,R6r,-2.09e-06,-1.33e-06,8.89e-10,1.32e-06
325,151,R7ra,-2.91e+00,-1.46e-02,1.24e-03,1.45e-02
326,151,R7rb,-1.27e-04,-5.21e-03,5.40e-08,5.18e-03
327,151,R7rc,-7.84e-01,-7.13e-03,3.34e-04,7.09e-03
328,151,R8r,-2.49e-02,-4.93e-03,1.06e-05,4.90e-03
329,151,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
330,151,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
331,151,R96,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
332,151,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
333,186,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
334,186,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
335,186,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
336,186,R11r,7.61e-05,3.74e-05,-4.40e-07,-3.66e-05
337,186,R12r,-2.45e-05,-1.20e-05,1.42e-07,1.18e-05
338,186,R13r,3.14e-05,2.42e-05,-1.81e-07,-2.37e-05
339,186,R14r,1.42e-04,2.71e-05,-8.23e-07,-2.65e-05
340,186,R15r,1.29e-05,1.02e-04,-7.45e-08,-1.00e-04
341,186,R20,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
342,186,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
343,186,R23r,-5.58e-02,-8.71e-04,3.23e-04,8.53e-04
344,186,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
345,186,R25,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
346,186,R26r,-2.93e-04,-3.23e-05,1.70e-06,3.17e-05
347,186,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
348,186,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
349,186,R54ra,-1.73e+01,-8.27e-03,1.00e-01,8.10e-03
350,186,R54rb,-1.54e-07,-8.99e-05,8.89e-10,8.80e-05
351,186,R55a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
352,186,R55b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
353,186,R5r,2.90e-01,1.83e-05,-1.68e-03,-1.79e-05
354,186,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
355,186,R61r,-3.05e-01,-6.17e-04,1.76e-03,6.04e-04
356,186,R6r,-2.34e-06,-5.56e-06,1.35e-08,5.45e-06
357,186,R7ra,-9.78e-01,-1.83e-02,5.65e-03,1.79e-02
358,186,R7rb,-3.47e-05,-5.34e-03,2.01e-07,5.23e-03
359,186,R7rc,-2.13e-01,-7.23e-03,1.23e-03,7.08e-03
360,186,R8r,-6.28e-03,-4.65e-03,3.63e-05,4.55e-03
361,186,R91,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
362,186,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
